#name       mass  charge    H   He    C    N    O   Si    S   Fe   Na   Mg   Cl    P    F
H2O+          18       1    2    0    0    0    1    0    0    0    0    0    0    0    0
HCN+          27       1    1    0    1    1    0    0    0    0    0    0    0    0    0
HCP+          44       1    1    0    1    0    0    0    0    0    0    0    0    1    0
HNC+          27       1    1    0    1    1    0    0    0    0    0    0    0    0    0
HNO+          31       1    1    0    0    1    1    0    0    0    0    0    0    0    0
HNS+          47       1    1    0    0    1    0    0    1    0    0    0    0    0    0
HNSi+         43       1    1    0    0    1    0    1    0    0    0    0    0    0    0
HOC+          29       1    1    0    1    0    1    0    0    0    0    0    0    0    0
HPN+          46       1    1    0    0    1    0    0    0    0    0    0    0    1    0
HSiS+         61       1    1    0    0    0    0    1    1    0    0    0    0    0    0
NaH2+         25       1    2    0    0    0    0    0    0    0    1    0    0    0    0
NCO+          42       1    0    0    1    1    1    0    0    0    0    0    0    0    0
NH2+          16       1    2    0    0    1    0    0    0    0    0    0    0    0    0
NO2+          46       1    0    0    0    1    2    0    0    0    0    0    0    0    0
HO2+          33       1    1    0    0    0    2    0    0    0    0    0    0    0    0
OCS+          60       1    0    0    1    0    1    0    1    0    0    0    0    0    0
PH2+          33       1    2    0    0    0    0    0    0    0    0    0    0    1    0
HS2+          65       1    1    0    0    0    0    0    2    0    0    0    0    0    0
SiC2+         52       1    0    0    2    0    0    1    0    0    0    0    0    0    0
SiH2+         30       1    2    0    0    0    0    1    0    0    0    0    0    0    0
SiNC+         54       1    0    0    1    1    0    1    0    0    0    0    0    0    0
SO2+          64       1    0    0    0    0    2    0    1    0    0    0    0    0    0
HCNH+         28       1    2    0    1    1    0    0    0    0    0    0    0    0    0
HC2N+         39       1    1    0    2    1    0    0    0    0    0    0    0    0    0
C3H+          37       1    1    0    3    0    0    0    0    0    0    0    0    0    0
C4+           48       1    0    0    4    0    0    0    0    0    0    0    0    0    0
H2CO+         30       1    2    0    1    0    1    0    0    0    0    0    0    0    0
CH3+          15       1    3    0    1    0    0    0    0    0    0    0    0    0    0
C3N-          50      -1    0    0    3    1    0    0    0    0    0    0    0    0    0
C4-           48      -1    0    0    4    0    0    0    0    0    0    0    0    0    0
H3O+          19       1    3    0    0    0    1    0    0    0    0    0    0    0    0
H2NO+         32       1    2    0    0    1    1    0    0    0    0    0    0    0    0
H3S+          35       1    3    0    0    0    0    0    1    0    0    0    0    0    0
HC2S+         57       1    1    0    2    0    0    0    1    0    0    0    0    0    0
HOCS+         61       1    1    0    1    0    1    0    1    0    0    0    0    0    0
PCH2+         45       1    2    0    1    0    0    0    0    0    0    0    0    1    0
H2S2+         66       1    2    0    0    0    0    0    2    0    0    0    0    0    0
C2H2+         26       1    2    0    2    0    0    0    0    0    0    0    0    0    0
C2HO+         41       1    1    0    2    0    1    0    0    0    0    0    0    0    0
C2N2+         52       1    0    0    2    2    0    0    0    0    0    0    0    0    0
C3N+          50       1    0    0    3    1    0    0    0    0    0    0    0    0    0
C3O+          52       1    0    0    3    0    1    0    0    0    0    0    0    0    0
C3S+          68       1    0    0    3    0    0    0    1    0    0    0    0    0    0
CH2Si+        42       1    2    0    1    0    0    1    0    0    0    0    0    0    0
H2CCl+        49       1    2    0    1    0    0    0    0    0    0    0    1    0    0
H2CS+         46       1    2    0    1    0    0    0    1    0    0    0    0    0    0
H2NC+         28       1    2    0    1    1    0    0    0    0    0    0    0    0    0
H2PO+         49       1    2    0    0    0    1    0    0    0    0    0    0    1    0
H2SiO+        46       1    2    0    0    0    1    1    0    0    0    0    0    0    0
HOCO+         45       1    1    0    1    0    2    0    0    0    0    0    0    0    0
HNCO+         43       1    1    0    1    1    1    0    0    0    0    0    0    0    0
HSiO2+        61       1    1    0    0    0    2    1    0    0    0    0    0    0    0
HSO2+         65       1    1    0    0    0    2    0    1    0    0    0    0    0    0
NaH2O+        41       1    2    0    0    0    1    0    0    0    1    0    0    0    0
NH3+          17       1    3    0    0    1    0    0    0    0    0    0    0    0    0
PC2H+         56       1    1    0    2    0    0    0    0    0    0    0    0    1    0
PH3+          34       1    3    0    0    0    0    0    0    0    0    0    0    1    0
PNH2+         47       1    2    0    0    1    0    0    0    0    0    0    0    1    0
SiC2H+        53       1    1    0    2    0    0    1    0    0    0    0    0    0    0
l-SiC3+       64       1    0    0    3    0    0    1    0    0    0    0    0    0    0
SiH3+         31       1    3    0    0    0    0    1    0    0    0    0    0    0    0
SiNCH+        55       1    1    0    1    1    0    1    0    0    0    0    0    0    0
HSiNH+        44       1    2    0    0    1    0    1    0    0    0    0    0    0    0
HN2O+         45       1    1    0    0    2    1    0    0    0    0    0    0    0    0
C2H3+         27       1    3    0    2    0    0    0    0    0    0    0    0    0    0
c-C3H2+       38       1    2    0    3    0    0    0    0    0    0    0    0    0    0
l-C3H2+       38       1    2    0    3    0    0    0    0    0    0    0    0    0    0
C4H+          49       1    1    0    4    0    0    0    0    0    0    0    0    0    0
C5+           60       1    0    0    5    0    0    0    0    0    0    0    0    0    0
HC3O+         53       1    1    0    3    0    1    0    0    0    0    0    0    0    0
C4H-          49      -1    1    0    4    0    0    0    0    0    0    0    0    0    0
C5-           60      -1    0    0    5    0    0    0    0    0    0    0    0    0    0
NH4+          18       1    4    0    0    1    0    0    0    0    0    0    0    0    0
H3CS+         47       1    3    0    1    0    0    0    1    0    0    0    0    0    0
H2COH+        31       1    3    0    1    0    1    0    0    0    0    0    0    0    0
H3S2+         67       1    3    0    0    0    0    0    2    0    0    0    0    0    0
HC3S+         69       1    1    0    3    0    0    0    1    0    0    0    0    0    0
PC3H+         68       1    1    0    3    0    0    0    0    0    0    0    0    1    0
PCH3+         46       1    3    0    1    0    0    0    0    0    0    0    0    1    0
PNH3+         48       1    3    0    0    1    0    0    0    0    0    0    0    1    0
SiC2H2+       54       1    2    0    2    0    0    1    0    0    0    0    0    0    0
SiC3H+        65       1    1    0    3    0    0    1    0    0    0    0    0    0    0
SiC4+         76       1    0    0    4    0    0    1    0    0    0    0    0    0    0
SiCH3+        43       1    3    0    1    0    0    1    0    0    0    0    0    0    0
SiH4+         32       1    4    0    0    0    0    1    0    0    0    0    0    0    0
CH2CN+        40       1    2    0    2    1    0    0    0    0    0    0    0    0    0
H2CCO+        42       1    2    0    2    0    1    0    0    0    0    0    0    0    0
HC3N+         51       1    1    0    3    1    0    0    0    0    0    0    0    0    0
C4N+          62       1    0    0    4    1    0    0    0    0    0    0    0    0    0
C4P+          79       1    0    0    4    0    0    0    0    0    0    0    0    1    0
C4S+          80       1    0    0    4    0    0    0    1    0    0    0    0    0    0
HCOOH+        46       1    2    0    1    0    2    0    0    0    0    0    0    0    0
CH4+          16       1    4    0    1    0    0    0    0    0    0    0    0    0    0
H3SiO+        47       1    3    0    0    0    1    1    0    0    0    0    0    0    0
PC2H2+        57       1    2    0    2    0    0    0    0    0    0    0    0    1    0
C6+           72       1    0    0    6    0    0    0    0    0    0    0    0    0    0
HC4N+         63       1    1    0    4    1    0    0    0    0    0    0    0    0    0
C5H-          61      -1    1    0    5    0    0    0    0    0    0    0    0    0    0
